frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
496,0,15.9634,0,0,5.6459,0.380432,0.805636,0.881556,46344,20.916
497,0,16.03,0,0,5.84823,0.396084,0.807976,0.872144,46344,20.915
498,0,31.5603,0,0,5.90491,0.413244,1.77164,0.872092,46344,20.8254
499,0,16.0278,0,0,4.83522,0.374452,0.778856,0.892476,46344,20.8311
500,0,17.271,0,0,4.79773,0.377884,0.777868,0.864812,46344,21.163
501,0,30.0212,0,0,4.84572,0.379704,0.780052,0.88296,46344,20.6881
502,0,15.7424,0,0,5.87532,0.39546,0.807612,0.940628,46344,27.5278
503,0,31.5627,0,0,5.69743,0.385268,0.805636,0.89102,46344,20.8912
504,0,15.9702,0,0,5.68074,0.439764,0.776048,0.870948,46344,20.6642
505,0,19.7603,0,0,4.83366,0.394836,0.81172,0.86216,46344,20.8998
506,0,20.7014,0,0,4.96226,0.373048,0.779428,1.00017,46344,21.1849
507,0,15.6953,0,0,4.79029,0.377884,0.779792,0.865124,46344,20.9084
508,0,15.946,0,0,5.57201,0.374036,0.779844,0.895128,46344,27.3886
509,0,16.0295,0,0,5.6655,0.396448,0.789984,0.915408,46344,21.1124
510,0,16.0732,0,0,5.66909,0.37232,0.777192,0.875784,46344,20.6804
511,0,16.1145,0,15.8877,5.64335,0.375908,0.778856,0.86684,46344,20.7195
512,0,15.7061,0,0,4.8504,0.438048,0.785148,0.863668,46344,20.771
513,0,15.8867,0,0,4.83834,0.40222,0.811668,0.865124,46344,21.1773
514,0,16.3633,0,15.6128,4.78686,0.376168,0.780728,0.867776,46344,20.8521
515,0,15.9094,0,0,5.61933,0.382668,0.780364,0.891644,46344,27.2942
516,0,16.0159,0,0,5.62052,0.385528,0.781248,0.882908,46344,21.0266
517,0,15.908,0,0,5.67362,0.394316,0.798928,0.903968,46344,21.0123
518,0,20.7097,0,0,5.69858,0.43888,0.795652,0.873184,46344,20.6413
519,0,16.1536,0,0,4.83038,0.379548,0.777712,0.908908,46344,20.8206
520,0,15.7009,0,0,4.80371,0.378716,0.792896,0.870428,46344,22.0518
521,0,16.1216,0,0,4.76902,0.379236,0.778128,0.864708,46344,19.9766
522,0,16.0945,0,0,5.62089,0.377728,0.776204,0.888888,46344,27.5288
